date,Australia,Japan,Germany,France,Switzerland,UK,USA
2000-03-01,-0.015016433789678318,-0.03453070656028556,-0.02086998185946709,-0.002063496851372748,0.10105648317438232,0.05170284040469353,0.053499
2000-04-01,-0.014768860221201274,-0.04276392055094003,-0.06431150507321381,-0.013841700222462117,0.00382462294567798,-0.017993148264320524,-0.059519
2000-05-01,-0.029128807366845644,-0.05056073580842968,-0.06703563877574337,-0.02761156172942092,0.07610110438128137,-0.03755836471907992,-0.038863
2000-06-01,0.08692136108874471,0.026169331263829587,0.014415062532840306,0.0524752566481399,-0.029506915728097938,0.010025439817389126,0.051576
2000-07-01,-0.010309710561438923,-0.07191178212095117,0.01031749450985786,0.010209759325786383,0.0468955339265833,0.010365663064272335,-0.017679
2000-08-01,-0.010879301336967573,0.04076652818831006,-0.05242931740038359,-0.015508829481461817,0.06987870395178297,0.03915540184683586,0.074984
2000-09-01,-0.06630640328770665,-0.03922558658970532,-0.11565176431287993,-0.09582894945550025,-0.030303627336287886,-0.08380190089327688,-0.051154
2000-10-01,-0.012521559013222161,-0.04853989539336845,-0.01648489630362271,-0.013223038743530924,0.04157047610943376,0.028802036244405693,-0.02448
2000-11-01,0.02229287256121215,-0.006789018236403654,-0.09337759643870969,-0.05929099471202348,-0.01605626497109036,-0.052349606221149814,-0.102365
2000-12-01,0.039678288738597134,-0.03515684201923697,0.04033000502128159,0.05962507610999768,-0.03232308257860417,0.0381344152231029,0.02045
2001-01-01,0.045771697075155604,0.055584473417113145,0.09386256758481593,0.04701879935878894,-0.03581404912014241,0.0014444965582063318,0.039573
2001-02-01,-0.050617799711095035,-0.04796242307295062,-0.09071449783916374,-0.09317368781036683,-0.02140689038785637,-0.06394520108798663,-0.099084
2001-03-01,-0.08727445128475109,0.07963264169673234,-0.05001668320456276,-0.053400888621510045,-0.04475141533692917,-0.0464456241194493,-0.070408
2001-04-01,0.03717062330781151,0.08491447272998576,0.04679452115820748,0.058793414868160365,0.04110271619944994,0.050654077174884016,0.083834
2001-05-01,0.06351255038068193,-0.046668988066185135,-0.03440799060481792,-0.032028917358991604,0.04006737759775825,-0.024695028273626907,0.010442
2001-06-01,0.021456518416618664,-0.0041541890316684205,-0.03286985128755848,-0.06305369531017935,-0.017366540403468744,-0.04691755570417111,-0.017561
2001-07-01,-0.07049130585810814,-0.06815180587608016,-0.01866289174560365,-0.014293097114888464,-0.07353460748375906,-0.010974000994008581,-0.018284
2001-08-01,0.03829481415421476,-0.0971437802444215,-0.043313402656993794,-0.021701415330702356,-0.0762480317013089,-0.00520316338620308,-0.05898
2001-09-01,-0.08785435504460526,-0.08935043805023368,-0.12057242361349008,-0.11597700912469489,-0.12745346506247024,-0.07317293142735892,-0.091497
2001-10-01,0.0617070399890387,0.05950230915998289,0.048191751548716244,0.05507321664417386,0.02731682403370672,0.02280347097171065,0.027847
2001-11-01,0.06047819920676312,0.0007740447905786318,0.048636996976784586,0.01547369221300543,0.04116390854574803,0.031213027167009244,0.078789
