,Australia,Japan,Germany,France,Switzerland,UK
2000-02-29,-0.05502210545910369,-0.009571573861840155,0.11590006153508248,0.07758268239528543,-0.012130195722172332,-0.014806363537634315
2000-03-31,-0.0006083400303495967,0.06259556467672533,-0.008621128373742626,0.010420624550948832,0.08427235396328903,0.07466734148908727
2000-04-28,-0.03000815873987117,-0.08343857411770694,-0.09347395205567155,-0.04457713117998752,-0.033474937250028924,-0.041775519165933916
2000-05-31,-0.021695927035600637,-0.07210714796472972,-0.0012815394503247202,0.04092109461881388,0.06540189544068009,-0.02920356576092553
2000-06-30,0.10546639762556076,0.06318251459206703,-0.010692678884541063,0.026425489084423326,0.051246289209358364,0.020821737526122375
2000-07-31,-0.027898556625858384,-0.11917986644529532,-0.0067791960280566554,-0.006885108106904014,0.017425798262538095,0.0016110282412755694
2000-08-31,-0.004293657609123813,0.07153325234149621,-0.05787953254996758,-0.021171403040060377,-0.01295483915928275,0.019340686127043982
2000-09-29,-0.07724218969899388,-0.03921815110509741,-0.084302532922505,-0.0637770197561387,-0.04563675174485948,-0.030629148220806313
2000-10-31,-0.012069078702659275,-0.0733603457535501,-0.03671587128011766,-0.033521110359850725,-0.008700395713177489,-0.0026449417467032665
2000-11-30,0.05061218182374061,-0.027805823523393114,-0.07408791914093815,-0.03927607662502963,0.01672973973026215,-0.05547478798896921
2000-12-29,0.0487147349068795,-0.09070203072951444,0.06947555439521502,0.08931118996287091,0.09399443945840003,0.06485358780049255
2001-01-31,0.014758787009352403,-0.002587249184723972,0.03908208120315293,-0.005415757576693658,-0.016822338696377503,-0.03112666959157462
2001-02-28,-0.054361292192700805,-0.05162519242411323,-0.08337514949892555,-0.08585418895831531,-0.06152128213581487,-0.05956269134325609
2001-03-30,-0.09930149738147886,-0.035158994800955856,-0.08094185323100311,-0.08421589131545815,-0.09117900907281107,-0.05730795514238207
2001-05-31,0.02044009989285711,0.008788769425976062,-0.06192157637818341,-0.059610292462812686,-0.018844026549638015,-0.028003106434363212
2001-06-29,0.0316764375217049,-0.05538173690756043,-0.005356000503370706,-0.03639854361797745,-0.035309340204251916,-0.03696676467456783
2001-07-31,-0.05758041831372551,-0.08620058239351991,0.0035310634845406863,0.007999685547321,-0.0212495562135957,-0.007737967952262448
2001-08-31,0.046280741300117834,-0.025106677894736973,-0.050349082741087625,-0.02889603464236734,-0.0004235259815548176,-0.0029800764657591516
2001-09-28,-0.1094182902509,-0.07194771602155514,-0.1293604512851485,-0.12481095829207922,-0.07407244873795404,-0.07866382990992427
2001-10-31,0.07845356452325114,0.006761765718875434,0.04330697593712496,0.050156372078766776,0.0161428639925858,0.021432754999836767
2001-11-30,0.07082894352467206,-0.012488493170264459,0.06419339175329708,0.03053811363507175,0.0279306581525387,0.021633109871611378
2002-01-31,0.01832305045581384,-0.07607654083022508,-0.013884533816526878,-0.05224881604148712,-0.04488076158057008,-0.03963620324279726
2002-02-28,0.016864032174093158,0.04303370028454734,-0.0014257487533163582,0.003020365959506499,0.02146535194907484,-0.0027053925462462436
2002-04-30,-0.007651840413043454,0.05435390715056454,-0.013128761567902658,-0.012051130918149466,0.03482795221694612,0.009014476485395218
2002-05-31,0.053396606708860705,0.07204193928401659,0.010771156673738957,0.008371175802488251,0.03638858154519853,-0.007410300128733227
2002-07-31,-0.071082655343085,-0.05709072807756532,-0.11431826044845772,-0.10952309658238635,-0.12728254394390903,-0.06683536712856664
2002-08-30,0.025539434815610607,-0.016114011119737426,-0.0018782596129032214,-0.0036046972060023164,-0.006570985876217628,-0.00668943469222405
2002-09-30,-0.051080595500636816,-0.045159715039592374,-0.1989870201677546,-0.14226789519161753,-0.07410066228174561,-0.10160023707676402
2002-10-31,0.03431095827931463,-0.06913802705342897,0.10394804754842579,0.1106895119792286,0.027113861247619164,0.06971812874057304
2002-11-29,0.00397909351928627,0.03441637509556705,0.03296624538690396,0.05159106298759242,0.0340945985288692,0.026958510498477306
2003-01-31,0.02721431513244421,-0.038627446430143264,-0.007585390360038136,-0.01763706976394852,-0.03353262433691451,-0.0685041297018949
2003-02-28,-0.018371333374573307,0.011726877365589639,-0.04951189527144062,-0.04883979817329365,-0.043974027227041246,-0.01698016156959503
2003-03-31,0.03485962094345685,-0.029605645417464133,-0.02624857483068932,-0.03304086043232213,-0.007132599261412298,-0.001127903086992621
2003-04-30,0.08341409478974349,0.006669343785563164,0.19804199394422017,0.14195621465339459,0.12017670767948307,0.10546351513616226
2003-05-30,0.04536598406601722,0.04577291214621737,0.07638310362980305,0.08651792316738827,0.049402307849293337,0.06861871864669977
2003-06-30,0.04967093954914792,0.07421004211187121,0.04334031707751129,0.010891705214584269,-0.0022876775946741867,0.011647045029427261
2003-07-31,-0.001357378749352156,0.03602360714339814,0.03626457289699192,0.012093612888767202,0.03166402730307216,0.00856406526299236
2003-08-29,0.03088697921485939,0.09827066924866745,-0.01179885826234528,0.011508492042934693,0.0015261957253551728,-0.0067585757102982535
2003-09-30,0.055293388612865924,0.07396962713208266,0.012656608519934442,0.018237036992535982,0.044239617115006125,0.03979814952513805
2003-10-31,0.07766408837991778,0.038621265770699464,0.09301475909812029,0.0631294356683949,0.028448023420714508,0.06790862588433222
2003-11-28,0.006527021283594836,-0.03410633860860046,0.050016039949608126,0.04707002568968033,0.05445694844004012,0.02997449188161716
2004-01-30,0.007011419498005322,0.016528537680461364,0.03128175765906871,0.017041569855489325,0.03716378447750346,0.010136895915256128
2004-02-27,0.0418798821420856,-0.0003509024843493247,-0.0033996933798587925,0.025776433068197768,0.008560320851348502,0.0483302166200934
