,0
2002-05-31,0.0
2002-06-30,0.0
2002-07-31,0.0
2002-08-31,0.0
2002-09-30,0.0
2002-10-31,0.0
2002-11-30,0.0
2002-12-31,0.0
2003-01-31,0.0
2003-02-28,0.0
2003-03-31,0.0
2003-04-30,0.0
2003-05-31,0.0
2003-06-30,0.0
2003-07-31,0.0
2003-08-31,0.0
2003-09-30,0.0
2003-10-31,0.0
2003-11-30,0.0
2003-12-31,0.0
2004-01-31,0.0
2004-02-29,0.0
2004-03-31,0.0
2004-04-30,0.0
2004-05-31,0.0
2004-06-30,0.0
2004-07-31,0.0
2004-08-31,0.0
2004-09-30,0.0
2004-10-31,0.0
2004-11-30,0.0
2004-12-31,0.0
2005-01-31,0.0
2005-02-28,0.0
2005-03-31,0.0
2005-04-30,0.0
2005-05-31,0.0
2005-06-30,0.0
2005-07-31,0.0
2005-08-31,0.0
2005-09-30,0.0
2005-10-31,0.0
2005-11-30,0.0
2005-12-31,0.0
2006-01-31,0.0
2006-02-28,0.0
2006-03-31,0.0
2006-04-30,0.0
2006-05-31,0.0
2006-06-30,0.0
2006-07-31,0.0
2006-08-31,0.0
2006-09-30,0.0
2006-10-31,0.0
2006-11-30,0.0
2006-12-31,0.0
2007-01-31,0.0
2007-02-28,0.0
2007-03-31,0.0
2007-04-30,0.0
2007-05-31,0.0
2007-06-30,0.025855351980376744
2007-07-31,-0.026663586453634973
2007-08-31,-0.040753197984436766
2007-09-30,0.020168337093264963
2007-10-31,0.026877420587988754
2007-11-30,-0.035087244388095705
2007-12-31,-0.021043530526040105
2008-01-31,-0.08785786698536913
2008-02-29,-0.0066091560632205
2008-03-31,-0.04975939315635355
2008-04-30,0.08888005781503008
2008-05-31,0.02687196153762412
2008-06-30,-0.054321310012428826
2008-07-31,-0.0064954084846314585
2008-08-31,-0.02873574463153568
2008-09-30,-0.12808762973230003
2008-10-31,-0.14801063421792912
2008-11-30,-0.0476590364463265
2008-12-31,-0.035175688604912096
2009-01-31,-0.03943563111780081
2009-02-28,-0.06843425335440316
2009-03-31,0.02800663932700971
2009-04-30,0.10172604038810781
2009-05-31,0.03586106327361781
2009-06-30,0.009898207259893646
2009-07-31,0.08619974211579425
2009-08-31,0.05150273303332331
2009-09-30,0.029414657230510878
2009-10-31,-0.009410215958500463
2009-11-30,-0.0013782644033053576
2009-12-31,0.03958006573355922
2010-01-31,-0.00996927345546661
2010-02-28,0.034154965853415896
2010-03-31,0.04726805457209682
2010-04-30,-0.017585216896701006
2010-05-31,-0.0382970260038753
2010-06-30,-0.02072911539376299
2010-07-31,0.029648309678710776
2010-08-31,-0.007529021772411606
2010-09-30,0.030865089335804452
2010-10-31,0.022792980292278383
2010-11-30,-0.01694309158047269
2010-12-31,0.027786400822974237
2011-01-31,0.001104345813612859
2011-02-28,0.02814254700017193
2011-03-31,-0.022692663035539073
2011-04-30,0.03627557385591972
2011-05-31,-0.004060740240048553
2011-06-30,-0.05726940814515824
2011-07-31,-0.07833524694124303
2011-08-31,-0.04715074549666463
2011-09-30,-0.03008383706807023
2011-10-31,0.044755487927286244
2011-11-30,-0.017556520987701996
2011-12-31,0.03619473883866073
2012-01-31,0.0206786921601934
2012-02-29,0.03687300741448596
2012-03-31,0.009362864575745975
2012-04-30,-0.008495423384632696
2012-05-31,-0.04472567302247281
2012-06-30,0.036681623797678226
2012-07-31,0.03185076899423191
2012-08-31,0.007634278966724672
2012-09-30,0.016298979631229466
2012-10-31,0.013544848406207916
2012-11-30,0.026252940761972817
2012-12-31,0.005775580654837816
2013-01-31,0.06612663558105109
2013-02-28,0.029451349682059424
2013-03-31,0.02041778135689002
2013-04-30,0.0217859794885473
2013-05-31,0.0055947126930084926
2013-06-30,-0.03217710434754051
2013-07-31,0.045685557926343344
2013-08-31,-0.014793742552757571
2013-09-30,0.02197462248017014
2013-10-31,0.026419365060511853
2013-11-30,-0.002127766978778562
2013-12-31,0.014383787166493061
2014-01-31,-0.025643256000528702
2014-02-28,0.029314880780656596
2014-03-31,-0.0021885700473569833
2014-04-30,0.010408560052289823
2014-05-31,0.028942279871532126
2014-06-30,-0.013866394743961896
2014-07-31,-0.028015203349778358
2014-08-31,0.020222168037774827
2014-09-30,0.005016743458926517
2014-10-31,-0.008591627967239751
2014-11-30,0.04975792299019857
2014-12-31,-0.0054819107668780676
2015-01-31,-0.0035237664401736833
2015-02-28,0.07441472347373115
2015-03-31,0.03274014330969302
2015-04-30,-0.001504354714806224
2015-05-31,0.022971695463392894
2015-06-30,-0.026925806041357758
2015-07-31,0.02103071981605065
2015-08-31,-0.07522435989747724
2015-09-30,-0.07124794159857338
2015-10-31,0.0980712405666395
2015-11-30,0.01830910237478967
2015-12-31,-0.017936516541095387
2016-01-31,-0.06748661915209186
2016-02-29,-0.08686460419995186
2016-03-31,0.051166371507628025
2016-04-30,0.005961377111959643
2016-05-31,0.03211249963171858
2016-06-30,-0.08920651109584798
2016-07-31,0.061480824250511365
2016-08-31,0.008882502985902197
2016-09-30,0.005370557941159398
2016-10-31,0.015205331498983846
2016-11-30,0.01898439618673711
2016-12-31,0.038730131642972905
2017-01-31,0.0037443908795846657
2017-02-28,0.012290467033716286
2017-03-31,-0.0014750987114386727
2017-04-30,0.014511627357084219
2017-05-31,0.032042747127219634
2017-06-30,0.006580998525858511
2017-07-31,0.0036917910042409564
2017-08-31,0.006219603758740288
2017-09-30,0.04387429558630351
2017-10-31,0.0555472215843764
2017-11-30,0.021363348767125416
2017-12-31,0.01871159408811085
2018-01-31,0.017819877648665775
2018-02-28,-0.03119609488611718
